cms_specialty,county_type,min_ratio_per_1000
Physical Therapy,Rural,
Physical Therapy,CEAC,
Occupational Therapy,Large Metro,
Occupational Therapy,Metro,
Occupational Therapy,Micro,
Occupational Therapy,Rural,
Occupational Therapy,CEAC,
Speech Therapy,Large Metro,
Speech Therapy,Metro,
Speech Therapy,Micro,
Speech Therapy,Rural,
Speech Therapy,CEAC,
Inpatient Psychiatric,Large Metro,
Inpatient Psychiatric,Metro,
Inpatient Psychiatric,Micro,
Inpatient Psychiatric,Rural,
Inpatient Psychiatric,CEAC,
Outpatient Infusion/Chemo,Large Metro,
Outpatient Infusion/Chemo,Metro,
Outpatient Infusion/Chemo,Micro,
Outpatient Infusion/Chemo,Rural,
Outpatient Infusion/Chemo,CEAC,
Outpatient Behavioral Health,Large Metro,
Outpatient Behavioral Health,Metro,
Outpatient Behavioral Health,Micro,
Outpatient Behavioral Health,Rural,
Outpatient Behavioral Health,CEAC,
